Business,Description of Item Donated,Method of Receipt,Status,Special Instructions,✔ Cert,Inputted,Title,Display Section (Category),Donor Name,Donor Website,For Fulfillment Name,Donor Email,Location - Packaging?,Descriptor Added to Title,Short Description (~ 10 words),Long Description,Estimated Value,Start Bid 33%,Starting Bid,Location,Image URLs
The Marsh,Two (2) Tickets ($70),Mail,Pending,,Y,,The Marsh - Two (2) Tickets ($70),Entertainment/Activities,The Marsh,https://themarsh.org/,Lori Glumac,boxoffice@themarsh.org,,Two (2) Tickets ($70),Two (2) Tickets ($70),"Two (2) Tickets for any show at The Marsh San Francisco or The Marsh Berkeley

The Marsh is a community arts center in San Francisco's Mission District and in Berkeley that hosts live performances and is known for developing new performance works. The name, The Marsh, a breeding ground for new performance, came out of several months Stephanie Weisman (Artistic Director) spent living on the edge of a marsh. While writing, she watched the rich interplay between the different elements that created the landscape. The Marsh seemed like a perfect metaphor for artistic development in the urban environment. Going 30 years strong, The Marsh continues to be a Bay Area rooted theater for self expression, captivating storytelling, and entertainment. 

Restrictions:
Advance reservations are required.
Not valid for benefit performances and special events

Located at 1062 Valencia St, SF and 2120 Allston Way, Berkeley

Expires 3/14/2026
",70,23.1,25,"SF, Berkeley",
Ritual Coffee Roasters,3-Coffee Bag Gift Set ($70),Mail,Pending,Will be mailed to EC a week before event,N,,Ritual Coffee Roasters - 3-Coffee Bag Gift Set ($70),Food & Drink,Ritual Coffee Roasters,http://ritualcoffee.com/,,info@ritualroasters.com,,3-Coffee Bag Gift Set ($70),3-Coffee Bag Gift Set ($70),"""Three's a Charm"" Coffee Gift Set from Ritual Coffee Roasters
A San Francisco original since 2005, world famous and a local favorite, we're a fully independent and woman-owned coffee.

Includes 3 12-oz bags of whole bean coffee: 
* Cerro Buena Vista from Chirripo, Costa Rica: notes of strawberry jam, cherry soda, lemon-lime
* La Soledad from Sacatepequez, Guatemala: notes of cream soda, violet, lemon verbena
* Gabriel Mas Tafur from Amazonas, Peru: notes of honey, white peach, lilac

https://ritualcoffee.com/",70,23.1,25,San Francisco,
Cartoon Art Museum,Four (4) Passes ($40),Mail,Received,,Y,,Cartoon Art Museum - Four (4) Passes ($40),Entertainment/Activities,Cartoon Art Museum,https://www.cartoonart.org/,,membership@cartoonart.org,,Four (4) Passes ($40),Four (4) Passes ($40),"Four (4) passes for admission to the Cartoon Art Museum

Established in 1984, the Cartoon Art Museum is a nonprofit educational museum dedicated to the history of cartoon art. The Cartoon Art Museum has an ever-changing exhibition calendar, with two major new exhibitions debuting 3-4 times a year, plus pop-ups and special spotlights. Recent exhibits include:
*   YAy Comics! Hilo, Phoebe and Her Unicorn and Friends
*   I Left My Art in San Francisco
*   Edward Gorey's Eerie Art

The Batman Armory: costumes and props from the Bronze Armory Studios

Located at 781 Beach St on historic Fisherman's Wharf, just steps away from Ghiradelli Square.

No expiration.",40,13.2,12,San Francisco,
Kayak Connection,Double Kayak Rental ($85),Mail,Received,,Y,,Kayak Connection - Double Kayak Rental ($85),Entertainment/Activities,Kayak Connection,https://www.kayakconnection.com/,,staff@kayakconnection.com,,Double Kayak Rental ($85),Double Kayak Rental ($85),"Double Kayak Rental from Kayak Connection

Enjoy a double kayak rental from Kayak Connection allows you to explore the Elkhorn Slough or Monterey Bay marine Sanctuary by kayak while seeing otters, seals, dolphins and birds. It is the most popular rental option, as it gives you more time to relax and enjoy the scenery without feeling rushed. 

In addition to rentals, Kayak Connections provides year-round 3-hour tours every weekend as well as seasonal bird watching and whale watching kayak tours. 

Located in the Santa Cruz Harbor (413 Lake Ave) and Elkhorn Slough in Moss Landing (2370 Hwy. 1)

www.kayakconnection.com

Expires 3/20/2027",85,28.05,30,"Santa Cruz, Moss Landing",
Sunset Movement Arts,Five (5) Kids Ballet Classes ($90) #1,Email,Received,connect winner by email,Y,,Sunset Movement Arts - Five (5) Kids Ballet Classes ($90) #1 (E),Kid Camps & Activities,Sunset Movement Arts,https://www.sunsetmovementarts.org/,Revel Paul,sunsetmovementarts@comcast.net,,Five (5) Kids Ballet Classes ($90) #1,Five (5) Kids Ballet Classes ($90) #1,"Five (5) Kids Ballet classes at Sunset Movement Arts 

Established dance center in the Sunset for over 20 years. A safe place to dance with technically skilled and friendly instructors. We welcome all levels, abilities and ages. We offer diverse dance techniques in a friendly non competitive atmosphere.

At Sunset Movement Arts we are proud of our students' accomplishments. They have appeared in ""the Velveteen Rabbit"" with ODC, ""A Christmas Carol"" with ACT, the San Francisco Lunar New Year Parade, The St. Patrick's Day parade, family night performances at the de Young and the Sunset Community Festival. Our flamenco group, Sabores de Espana headed by Stephanie Neira has performed for 17 years with Golden Gate Band.

Many of our students have been accepted at Ruth Asawa School of the Arts, San Francisco Ballet, City Ballet, ODC, and UCLA and UC Irvine dance departments. We look forward to training many more community artists.

Located at 1647 Taraval St. @ 27th Ave.

www.sunsetmovementarts.org
",90,29.7,30,San Francisco,
Sunset Movement Arts,Five (5) Kids Ballet Classes ($90) #2,Email,Received,connect winner by email,Y,,Sunset Movement Arts - Five (5) Kids Ballet Classes ($90) #2 (E),Kid Camps & Activities,Sunset Movement Arts,https://www.sunsetmovementarts.org/,Revel Paul,sunsetmovementarts@comcast.net,,Five (5) Kids Ballet Classes ($90) #2,Five (5) Kids Ballet Classes ($90) #2,"Five (5) Kids Ballet classes at Sunset Movement Arts 

Established dance center in the Sunset for over 20 years. A safe place to dance with technically skilled and friendly instructors. We welcome all levels, abilities and ages. We offer diverse dance techniques in a friendly non competitive atmosphere.

At Sunset Movement Arts we are proud of our students' accomplishments. They have appeared in ""the Velveteen Rabbit"" with ODC, ""A Christmas Carol"" with ACT, the San Francisco Lunar New Year Parade, The St. Patrick's Day parade, family night performances at the de Young and the Sunset Community Festival. Our flamenco group, Sabores de Espana headed by Stephanie Neira has performed for 17 years with Golden Gate Band.

Many of our students have been accepted at Ruth Asawa School of the Arts, San Francisco Ballet, City Ballet, ODC, and UCLA and UC Irvine dance departments. We look forward to training many more community artists.

Located at 1647 Taraval St. @ 27th Ave.

www.sunsetmovementarts.org
",90,29.7,30,San Francisco,
PEJU Winery,Complimentary Tasting for up to 4 Guests ($260),Email,Received,,Y,,PEJU Winery - Complimentary Tasting for up to 4 Guests ($260) (E),Wineries,PEJU Winery,https://www.peju.com/,,,,Complimentary Tasting for up to 4 Guests ($260),Complimentary Tasting for up to 4 Guests ($260),"Complimentary Tasting for up to 4 Guests ($260)

Founded in 1983 – forty years ago by Tony and Herta (HB) Peju, today two generations are
working side by side as daughters, Ariana and Lisa, take the helm of the family business.

Wines: Dedicated to making small lots of carefully created Cabernet Sauvignon,
Cabernet Franc, Merlot, and blends; these wines reflect the vivaciousness and elegance
exuded by the personalities of the family members and their Napa Valley estate vineyards.
As one of the Certified Green Wineries of Napa, the Peju family is dedicated to sustainable
and organic farming practices and outstanding guest satisfaction

Prior appointment required, please call/text 707.963.3600 or email customercare@peju.com

Bring certificate the day of the tasting
Expires Dec 2026

8466 St. Helena Highway, Rutherford, CA 94573",260,85.8,85,Napa Valley,
Snoopy's Home Ice Rink #1,Four (4) Skating Passes ($70),Mail,Received,,Y,,Snoopy's Home Ice Rink #1 - Four (4) Skating Passes ($70) (E),Entertainment/Activities,Snoopy's Home Ice Rink,https://www.snoopyshomeice.com/,,,,Four (4) Skating Passes ($70),Four (4) Skating Passes ($70),"Four (4) Complimentary Skating Admission Tickets to Snoopy's Home Ice.

Each ticket entitles the holder to one admission and skate rental and may be used for entry to any public skating session. Includes coupon for free coffee, tea or soft drink with meal purchase at Warm Puppy Cafe and 10% off non sale items at Snoopy's Gallery and Gift Shop.

Snoopy's Home Ice - The Redwood Empire Ice Arena is an indoor ice rink in Santa Rosa, California, United States. It was owned and built by Peanuts cartoonist Charles M. Schulz, and it opened on April 28, 1969.

Located at 1667 W. Steele Lane, Santa Rosa, across from the Charles M. Schulz Museum and Research Center

Excludes Coffee Club, Dance or Freestyle

www.snoopyshomeice.com

No expiration
",70,23.1,25,Santa Rosa,
Sea Trek SUP & Kayak Center,Two (2) Hours of Rental Time ($70),Email,Received,,Y,,Sea Trek SUP & Kayak Center - Two (2) Hours of Rental Time ($70) (E),Entertainment/Activities,Sea Trek SUP & Kayak Center,http://www.seatrek.com/,,,,Two (2) Hours of Rental Time ($70),Two (2) Hours of Rental Time ($70),"Two hours of rental time for a stand-up paddleboard or kayak (a $70 value)

Sea Trek provides enriching paddling experiences that foster deeper connections to nature, friends, family, and self while cultivating environmental stewardship and caring for our communities in the San Francisco Bay Area and beyond.
Whether you’re a seasoned paddler or a beginner, our friendly guides create a welcoming and unforgettable experience. Explore the bay your way with our kayak and SUP rentals, classes, exciting tours, and incredible Baja adventures.

The gift certificate can be redeemed at either our Sausalito or Alameda location and may be used in one of two ways:

    One person for two hours, or
    Two people for one hour each.

Reservations can be made via our website (www.seatrek.com/rentals/), and the recipient can skip the credit card field at checkout since they will present the gift certificate in person. It may not be combined with other offers, and there is no expiration date.

Sausalito location: 2100 Bridgeway, Sausalito, CA 94965
Alameda location: 1120 Ballena Blvd Ste 200, Alameda, CA 94501
",70,23.1,25,"Alameda, Sausalito",
STEMful,One (1) Kid's Movie Night (Parent's Night Out) ($65),Email,Received,,Y,,STEMful - One (1) Kid's Movie Night (Parent's Night Out) ($65) (E),Kid Camps & Activities,STEMful,https://sf-stemful.com/movie-night/,,info@stemful-sf.com,,One (1) Kid's Movie Night (Parent's Night Out) ($65),One (1) Kid's Movie Night (Parent's Night Out) ($65),"One (1) Kid's Movie Night (Parent's Night Out) ($65)

Treat yourself to a well-deserved adults-only evening while your kids have an unforgettable time with us at STEMful! With so many fantastic restaurants and attractions in Bernal Heights, it’s the perfect opportunity for a night on the town.

Meanwhile, your kiddos will be having a blast in our Play Space, enjoying exciting activities, and winding down with a fun movie night. Rest easy knowing they’re safe, entertained, and making memories of their own!

Movie night hours are between 6:00-9:00pm every other Friday; except for summer months hours are from 5:30-8:30pm. 

    Play time in Play Space.
    Watch movie on the big 150″ screen.
    Pizza and freshly popped popcorn provided.

Expires 12/31/2026

Located at 30 29th St., Bernal Heights",65,21.45,20,San Francisco,
Plow,$50 Giftcard,Mail,Received,,Y,,Plow - $50 Giftcard,Food & Drink,Plow,http://eatatplow.com/,,info@eatatplow.com,,$50 Giftcard,$50 Giftcard,"$50 Gift Card for Plow

Plow is a farm-to-table American comfort food served in a lively, rustic dining room with oak-barrel tables. Known for their fluffy lemon ricotta pancakes, Plow is the quintessential casual brunch place in Potrero Hill.

Located at 1299 18th St., San Francisco
www.eatatplow.com",50,16.5,15,San Francisco,
Public Glass,Carafe & Cup Set,Pickup,Needs Pickup,EC to confirm pickup time,N,,Public Glass - Carafe & Cup Set (E),"Art, Jewelry & Photography",Public Glass,https://www.publicglass.org/,,,,Carafe & Cup Set,Carafe & Cup Set,"Carafe & Cup set donated by Public Glass.

Since 1996, Public Glass has been San Francisco's only public access glass studio and school.  Public Glass is a nonprofit arts organization located in the Bayview/Hunters Point neighborhood of San Francisco.
 
Our outreach includes a full curriculum of glass courses taught by local artists,  Light-a-Spark programming for underserved youth and adults, team building, intro classes, Hot Glass Cold Beer, studio rentals and special events.

1750 Armstrong Ave
San Francisco, CA 94124",120,39.6,40,San Francisco,
Center for Creative Exploration,Two Introduction Classes ($90),Email,Received,,Y,,Center for Creative Exploration - Two Introduction Classes ($90) (E),Entertainment/Activities,Center for Creative Exploration,https://www.intuitivepainting.org/,,,,Two Introduction Classes ($90),Two Introduction Classes ($90),"GIFT CERTIFICATE FOR “Tending the Creative Fire""

An intuitive painting class (introductory/community class) for 2 people, ages 14 and up.
Guidance for those new to intuitive painting and/or new to painting at home.
For schedule and registration visit https://www.intuitivepainting.org/introductory-community-classes or email ccepaintingstudio@gmail.com

The Center for Creative Exploration is a nonprofit arts educational organization. We encourage
people of all backgrounds and abilities to discover how to use paint and paper as tools for exploring creative expression. The intuitive painting process we teach helps people to access deep places in their inner creative worlds.

The Center for Creative Exploration
300 Chenery Street, SF
Glen Park

Valid through 3/20/26",90,29.7,30,San Francisco,
Yosemite Mountain Sugar Pine Railroad,Family Pass Gift Voucher ($96),Email,Received,,Y,,Yosemite Mountain Sugar Pine Railroad - Family Pass Gift Voucher ($96),Entertainment/Activities,Yosemite Mountain Sugar Pine Railroad,https://ymsprr.com/,,info@ymsprr.com,,Family Pass Gift Voucher ($96),Family Pass Gift Voucher ($96),"Tickets for Two (2) Adults and Two (2) Children to ""Ride the Logger!"" 

Enjoy a 1-hour narrated daytime excursion into history on the Logger Steam Train through the magnificent Sierra National Forest. We take you along the Yosemite Mountain Sugar Pine Railroad and show you where lumberjacks once felled mighty trees for the nearby town of Madera! We even offer lunch options for you to enjoy a delicious meal while you take in the railroad's stunning landscape. The Yosemite Mountain Sugar Pine Railroad is a fun-filled excursion for the entire family, located only 10 minutes from the southern entrance of Yosemite

Located at 56001 Hwy 41 Fish Camp
Visit www.yosemitesteamtrains.com for schedule
https://ymsprr.com/

No expiration",96,31.68,30,Yosemite,
Bi-Rite Market,$50 Gift Card,Pickup,Received,,Y,,Bi-Rite Market - $50 Gift Card,Apparel,Bi-Rite Market,https://biritemarket.com/,,,,$50 Gift Card,$50 Gift Card,"$50 Gift card to Bi-Rite Market

With three neighborhood Markets, an acclaimed Creamery, and a creative Catering company, Bi-Rite is your destination for deliciousness and local, socially responsible food in San Francisco.

No expiration
Multiple locations in San Francisco
",50,16.5,20,"Mission, San Francisco",
Kasa Indian,$40 Gift Card,Email,Received,,Y,,Kasa Indian - $40 Gift Card (E),Apparel,Kasa Indian Eatery,https://kasaindian.com/,,,,$40 Gift Card,$40 Gift Card,"$40 Gift Card to Kasa Indian Eatery

Kasa was born in 2008 out of a burning desire to get San Francisco hopelessly hooked on vibrant Indian flavours, colors and culture. The passionate team behind Kasa is led by British-born lawyer-turned-mother-turned-chef Anamika Khanna, a graduate of the London School of Economics who moved to SF in 2000.

Located in San Francisco (Castro, Polk St) and Redwood City.
www.kasaindian.com
",40,13.2,15,San Francisco,
Scandia Family Fun Center,Four (4) Passes for Mini Golf ($58),Mail,Received,,Y,,Scandia Family Fun Center - Four (4) Passes for Mini Golf ($58),Entertainment/Activities,Scandia Family Fun Center,http://scandiafamilycenter.com/,,,,Four (4) Passes for Mini Golf ($58),Four (4) Passes for Mini Golf ($58),"Four (4) Mini Golf Passes good for one round of 18-holes miniature golf for a group of 4 people

Experience a whole new level of fun at Scandia Family Fun Center! Play your way through one of our challenging miniature golf courses. The park also features a batting cages, race cars, bumper boats, a kids playland, huge video game arcade and a full snack bar!

May be used at Scandia Fairfield
4300 Central Place
Fairfield, CA 94534

No expiration
",58,19.14,20,Fairfield,
Hiller Aviation Museum,4 Guest Passes ($88),Mail,Received,,Y,,Hiller Aviation Museum - 4 Guest Passes ($88),Entertainment/Activities,Hiller Aviation Museum,https://www.hiller.org/,,,,4 Guest Passes ($88),4 Guest Passes ($88),"4 Guest Passes to Hiller Aviation Museum

Imagination takes flight at the Hiller Aviation Museum
Explore flight, hands-on activities, and events at the Hiller Aviation Museum. Flight Simulators, Drones, Invention Lab, and more!

Not valid for Biggest Little Airshow or Noon Year events
Must be presented at Museum Gift Shop for Admission

No expiration",88,29.04,30,San Carlos,
Movement Gyms,Two (2) Intro to Rope Climbing OR Bouldering Classes ($64),Mail,Received,,Y,,Movement Gyms - Two (2) Intro to Rope Climbing or Bouldering Lessons,Health & Wellness,Movement Gyms,https://movementgyms.com/,,sanfrancisco@movementgyms.com,,Two (2) Intro to Rope Climbing or Bouldering Lessons,Two (2) Intro to Rope Climbing or Bouldering Lessons,"Two (2) Intro to Rope Climbing or Bouldering Lessons at Movement San Francisco

Intro to Rope Climbing: Learn the basics of knot tying and belay technique in this hour-long intro lesson! Designed for people with little or no climbing experience, this course teachers the skills needed to rope climb independently at our facilities and is a great first-time climbing experience. The lesson includes gear rental (shoes and harness) and a one-day pass. At the end of class, students receive a temporary belay card so they can continue to climb and belay for the rest of the day.

Intro to Bouldering: Learn how to navigate the bouldering area, fall properly, and explore a couple of key climbing techniques. Climbers will have an opportunity to practice basic climbing techniques with one of our instructors and receive feedback.

https://movementgyms.com/

Located at 924 Mason St, SF

Restrictions:
Participants must be 13 years or older
Reservations required
Expires 3/20/2027


",64,21.12,25,San Francisco,
Game On Berkeley,Puzzle Game Escape Room for Two ($78),Email,Received,Connect winner w/ vendor,N,,Game On Berkeley - Puzzle Game Escape Room for Two ($78) (E),Entertainment/Activities,Game On Berkeley,https://www.gameonberkeley.com/,,,,Puzzle Game Escape Room for Two ($78),Puzzle Game Escape Room for Two ($78),"Game On is the top-rated entertainment venue in Berkeley, CA. Featuring original, custom-made games, it's perfect for friends, family, and coworkers to team up and enjoy six unique game rooms and additional challenges. Whether you're planning a fun outing or a special event, get your Game On! This is a must-visit spot if you enjoy riddles, brain teasers, escape rooms, and the like. 
AND there's beer!

5 star rating on Yelp!

Walk-ins welcome upon availability
Children age 12 and younger must play with an adult
Not recommended for children under age 10
Winner will be connected with business to receive gift code directly from the business
",78,25.74,25,Berkeley,
Shake Shack,$50 Gift Card,Pickup,Received,with Ted,Y,,Shake Shack - $50 Gift Card,Food & Drink,Shake Shack,https://shakeshack.com,,,,$50 Gift Card,$50 Gift Card,"$50 Gift Certificate to Shake Shack

Shake Shack is an American fast casual restaurant chain that started as a hot dog cart in New York City's Madison Square Park and has expanded to serving burgers, fries, chicken sandwiches, along with their hot dogs paired with delicious shakes and frozen custard.

Located at Stonestown Galleria, Cow Hollow, and San Francisco Centre, and many other locations

No expiration
",50,16.5,20,Many Locations,
Shake Shack,$75 Gift Card,Pickup,Received,with Ted,Y,,Shake Shack - $75 Gift Card,Food & Drink,Shake Shack,https://shakeshack.com,,,,$75 Gift Card,$75 Gift Card,"$75 Gift Certificate to Shake Shack

Shake Shack is an American fast casual restaurant chain that started as a hot dog cart in New York City's Madison Square Park and has expanded to serving burgers, fries, chicken sandwiches, along with their hot dogs paired with delicious shakes and frozen custard.

Located at Stonestown Galleria, Cow Hollow, and San Francisco Centre, and many other locations

No expiration
",75,24.75,25,Many Locations,
Canyon Market,$50 Gift Card,Pickup,Received,with Ted,Y,,Canyon Market - $50 Gift Card,Food & Drink,Canyon Market,https://canyonmarket.com/,,,,$50 Gift Card,$50 Gift Card,"$50 to Canyon Market, located in Glen Park

Canyon Market is the neighborhood's full-service grocery since 2006, with services and products customized to the needs of our immediate community. We are an independent, full-service market, run by Janet and Richard Tarlov and a wonderful team of enthusiastic employees, mostly local residents.

From coffee in the morning to pastries after dinner, we provide all the needs for everyday eating, holiday entertaining and special occasions. We are part of an emerging trend of urban hybrid markets that fuse the traditional groceries with natural groceries and specialty lines, all tailored to the neighborhood.

2815 Diamond Street
San Francisco, CA 94131
7am—8pm daily
",50,16.5,20,"Glen Park, SF",
Bay Jiu Jitsu,One Month of Classes ($250),Email,Received,,Y,,Bay Jiu Jitsu - One Month of Classes ($250) (E),Health & Wellness,Bay Jiu Jitsu,https://www.bayjiujitsu.com/,,,,One Month of Classes ($250),One Month of Classes ($250),"One (1) month of classes at Bay Jiu-Jitsu!
The voucher is valid for one person for either kids
or adult classes.

We provide comprehensive, focused and engaging grappling and self defense classes for both the competitive and recreational practitioner with our world-class kids and adults programs in Mill Valley and San Francisco.

(Japantown)
1628 Post Street
San Francisco, CA 94115

No expiration date",120,39.6,40,"Japantown, SF",
Sunset Commons,Cactus Air Dry Clay Kit ($17),Pickup,Needs Pickup,,Y,,Sunset Commons - Cactus Air Dry Clay Kit ($17),"Art, Jewelry & Photography",Sunset Commons,https://sunsetcommons.store/,,,,Cactus Air Dry Clay Kit ($17),Cactus Air Dry Clay Kit ($17),"Cactus Air Dry Clay Kit ($17), donated by Sunset Commons

A home-grown third space for arts & crafts, community, and events!  Offering DIY kits, workshops, private event space, herbal teas, and all around neighborhood gathering space. 


Difficulty: 1/5⭐️

This all-in-one clay kit makes a cute cactus friend. Made from high-quality, non-toxic materials, our soft air-dry clay is safe and easy to shape, allowing you to bring your artistic visions to life. The best part? No baking required! Simply let your creations air dry for 24-48 hours and they’ll solidify into long-lasting masterpieces. Suitable for all ages, this kit is perfect for art classes, family bonding activities, and even as a relaxing hobby.

What’s included

- Step-by-step video and text guide
- Premium soft air-dry clay
- Bamboo toothpick tool
",17,5.61,5,"Sunset District, SF",
Safari Run ,10-Admission Open Play Punch Card,Pickup,Received,,Y,,Safari Run  - Ten (10) Open Play Sessions,Entertainment/Activities,Safari Run,safarirun.com,,,,Ten (10) Open Play Sessions,Ten (10) Open Play Sessions,"Ten (10) Open Play Sessions at Safari Run

Safari Run is a family-friendly play space celebrating the fun of fitness with games and obstacle courses centered on a track and giant animal-themed jungle gym. The combination of slides, ladders, bridges, and tunnels create a space where kids can build their motor skills, balance, cardio, strength, and confidence.

This is an unstructured play time where parent supervision is required, there is NO additional staff supervision. On our non-busier days your admission can start when you arrive. Busy days tend to be rainy days or holidays. Those days have been known to sell out so please plan accordingly. Open play time is recommended for ages 3-10.

safarirun.com

Located at 341 N Amphlett Blvd, San Mateo
Open Play is only during weekday business hours. See calendar for more details.
https://www.safarirun.com/calendar

Expires 9/30/2026
",170,56.1,60,San Mateo,
Peek-a-Boo Factory,Four (4) One-day Passes ($64),Pickup,Received,,Y,,Peek-a-Boo Factory - Four (4) One-Day Passes,Kid Camps & Activities,Peek-a-Boo Factory,https://www.peekaboofactory.com/daly-city/,,info@dalycity.peekaboofactory.com,,Four (4) One-Day Passes,Four (4) One-Day Passes,"Four (4) One-Day Passes

Peek-a-Boo Factory is a premier indoor playground and party place designed for parents to allow their children to socialize, learn, and play by creating an environment that emphasizes physical exercise, mental stimulation, and collaborative activities. We cater to children 12 years and under with a separate area for the 3 years and under.Our locations provide safe, clean, climate-controlled and supervised environments for children and parents to explore together.

Only for use at 6553 Mission St. in Daly City.

https://peekaboofactory.com/

Expires 3/20/2027",64,21.12,20,Daly City,"https://drive.google.com/file/d/1C129Z6Ggbhi691zzEWNepjWiD-Pd9WS1/view?usp=sharing, https://drive.google.com/file/d/1iIe_B-ce94tFp2qhq8u6jf3JCnMgXE80/view?usp=sharing,https://drive.google.com/file/d/1kvi_hfN7IVQyQE-DIsBiNT_sgBlL8id3/view?usp=sharing"
Joshua Ets-Hokin Photography,"Family Portrait session + 16x20 Print ($2,000)",Email,Received,,Y,,Joshua Ets-Hokin Photography - One (1) Family Portrait Session + B&W 16x20 Print (E),"Art, Jewelry & Photography",Joshua Ets-Hokin Photography,https://www.etshokin.com/,Joshua Ets-Hokin,joshua@etshokin.com; studio.outreach@me.com,,One (1) Family Portrait Session + B&W 16x20 Print,One (1) Family Portrait Session + B&W 16x20 Print,"One (1) certificate good for a weekday family portrait session with photographer Joshua Ets-Hokin

This Package Includes:

• Consultation at the studio to learn what makes your family unique
• One weekday photography session with your family, in your home
• Presentation to review images and make final selections
• A hand-printed black and white photograph matted to 16x20 (or $500 studio credit)
• Weekend/Holiday/Vacation Home Session upgrades available

Joshua Ets-Hokin has gained popularity by photographing families in the Bay Area for over 25 years. Joshua will spend the time necessary with the winner of this family photography session to understand and create photographs that are guaranteed to thrill you. This package includes all the necessary time to create beautiful images of your family, and a 16x20 black and white hand-printed photograph signed and matted, or $500 credit towards a larger size.

2014 Oakdale Ave
SF, CA 94124

Expires 3/21/2027",2000,660,350,San Francisco,
Corison Winery,Discovery Tour & Wine Tasting for 2 ($150),Email,Received,,Y,,Corison Winery - Discovery Tour & Wine Tasting for 2 ($150) (E),Wineries,Corison Winery,http://www.corison.com/,,,,Discovery Tour & Wine Tasting for 2 ($150),Discovery Tour & Wine Tasting for 2 ($150),"Corison Winery Discovery Tour & Tasting for Two Guests

Corison Winery is a small family farm producing delicious Cabernet Sauvignons that
speak of place. Over three decades, Cathy Corison and William Martin have built a
special home to celebrate the best of their little corner of the world, benchland in the
heart of the Napa Valley. 

Walk out in our estate Kronos Vineyard for seasonal updates, and observe a small
winery in action. This flight is a great introduction to Corison, where you will taste
four wines including two vintages of our Cabernet Sauvignon.

Call or text (707) 963-0826 or email customerservice@corison.com to schedule your appointment.

Please mention this gift certificate when you contact us, and bring it with you on the day of
your visit.
Valid through March 20th, 2027
",150,49.5,50,"St Helena, Napa Valley",
Tat Wong Kung Fu Academy,One (1) Week of Kung Fu Classes ($120),Pickup,Needs Pickup,,Y,,Tat Wong Kung Fu Academy - One (1) Week of Kung Fu Classes ($120),Kid Camps & Activities,Tat Wong Kung Fu Academy,www.tatwong.com,Wendy,info@tatwong.com,,One (1) Week of Kung Fu Classes ($120),One (1) Week of Kung Fu Classes ($120),"One (1) Week of Kung Fu Classes at Tat Wong Kung Fu Academy

(Up to 2 classes per week, valid for adults or children)

The Tat Wong Kung Fu Academy will help you get in top shape, build your confidence, discipline, strength & coordination. And you’ll be learning to be safe with real self-defense. 

Tat Wong Kung Fu Academy has been voted 2009 Family Favorite Best Martial Arts by Bay Area Parent Magazine, 2008 Best of the Bay by Bay Guardian magazine, and 2003 Best of the Bay by KPIX TV5 “Evening Magazine.” Give it a try and find out why we’re the best in self-defense, fitness and fun!

Kung Fu is ideal for all ages from 3 years old and up, for men, women, teens and children.

Located at 4801 Geary Blvd, SF and on 43rd Ave, San Mateo

No expiration
",120,39.6,40,"SF, San Mateo",
Gott's Roadside #1,$50 Gift Card,Mail,Received,with EC,Y,,Gott's Roadside #1 - $50 Gift Card,Food & Drink,Gott's Roadside,http://www.gotts.com,Gott's Team,info@gotts.com,,$50 Gift Card,$50 Gift Card,"$50 Gift Card

Gott's Roadside was founded in 1999 in Saint Helena by brothers Joel and Duncan Gott. Gott's California-inspired dishes and seasonal specials use locally sourced ingredients and purveyors such as Niman Ranch beef, Zoe's bacon, Panorama Bakery breads, and Osprey Seafood. Gott's modern approach to American roadside classics has something for everyone including dishes like the California Burger with a fried egg, Zoe's bacon, and balsamic onions, Ahi Poke Crispy Tacos with sushi grade Ahi tuna, Chicken Kale Caesar, and hand-spun organic shakes.

Gott's commitment to local sourcing also extends to the glass with a California-centric list of wines and beers, hand selected by Joel Gott, featuring regional favorites from Napa to San Diego. More than twenty years later, Gott's Roadside has expanded from its original Saint Helena location to include restaurants at San Francisco's Ferry Building Marketplace, Napa's Oxbow Public Market, Palo Alto's Town & Country Village, Broadway Plaza Shopping Center in Walnut Creek, Bon Air in Marin, and a licensed location at San Francisco International Airport.

Located SF (Ferry Building, Mission Bay), Napa, Marin, SFO and Palo Alto.",50,16.5,20,Multiple locations,
Gott's Roadside #2,$50 Gift Card,Mail,Received,with EC,Y,,Gott's Roadside #2 - $50 Gift Card,Food & Drink,Gott's Roadside,http://www.gotts.com,Gott's Team,info@gotts.com,,$50 Gift Card,$50 Gift Card,"$50 Gift Card

Gott's Roadside was founded in 1999 in Saint Helena by brothers Joel and Duncan Gott. Gott's California-inspired dishes and seasonal specials use locally sourced ingredients and purveyors such as Niman Ranch beef, Zoe's bacon, Panorama Bakery breads, and Osprey Seafood. Gott's modern approach to American roadside classics has something for everyone including dishes like the California Burger with a fried egg, Zoe's bacon, and balsamic onions, Ahi Poke Crispy Tacos with sushi grade Ahi tuna, Chicken Kale Caesar, and hand-spun organic shakes.

Gott's commitment to local sourcing also extends to the glass with a California-centric list of wines and beers, hand selected by Joel Gott, featuring regional favorites from Napa to San Diego. More than twenty years later, Gott's Roadside has expanded from its original Saint Helena location to include restaurants at San Francisco's Ferry Building Marketplace, Napa's Oxbow Public Market, Palo Alto's Town & Country Village, Broadway Plaza Shopping Center in Walnut Creek, Bon Air in Marin, and a licensed location at San Francisco International Airport.

Located SF (Ferry Building, Mission Bay), Napa, Marin, SFO and Palo Alto.",50,16.5,20,San Francisco,
